seed,dataset,model,attack,defense,eps,clean_accuracy,adversarial_accuracy,accuracy_drop,evasion_rate,attack_success_rate,mean_l2_perturbation,mean_linf_perturbation,label
42,cicids2017_engelen_friday,mlp,fgsm,none,0.05,0.9970962616651752,0.6761236006355352,0.32097266102963995,0.6896274352082556,0.6914435060755593,0.2138853520154953,0.03459949046373367,cicids2017_engelen_friday/mlp/fgsm/ε=0.05
42,cicids2017_engelen_friday,mlp,fgsm,none,0.1,0.9970962616651752,0.6757948755410267,0.3213013861241485,0.6903337191736477,0.6921456573891673,0.42597293853759766,0.06919898092746735,cicids2017_engelen_friday/mlp/fgsm/ε=0.1
42,cicids2017_engelen_friday,mlp,fgsm,none,0.15,0.9970962616651752,0.6757948755410267,0.3213013861241485,0.6903337191736477,0.6921456573891673,0.634246826171875,0.10379847139120102,cicids2017_engelen_friday/mlp/fgsm/ε=0.15
42,cicids2017_engelen_friday,mlp,fgsm,none,0.25,0.9970962616651752,0.6757948755410267,0.3213013861241485,0.6903337191736477,0.6921456573891673,1.0505281686782837,0.1729974001646042,cicids2017_engelen_friday/mlp/fgsm/ε=0.25
42,cicids2017_engelen_friday,mlp,pgd,none,0.05,0.9970962616651752,0.5806654856913271,0.41643077597384803,0.8947244511585019,0.8953404458660842,0.29810523986816406,0.04986744746565819,cicids2017_engelen_friday/mlp/pgd/ε=0.05
42,cicids2017_engelen_friday,mlp,pgd,none,0.1,0.9970962616651752,0.5564220099713278,0.44067425169384733,0.9468128936061682,0.9471241052446803,0.6170138120651245,0.09985769540071487,cicids2017_engelen_friday/mlp/pgd/ε=0.1
42,cicids2017_engelen_friday,mlp,pgd,none,0.15,0.9970962616651752,0.5479847325456106,0.44911152911956453,0.9649408487178984,0.965145988960621,0.8106242418289185,0.14985215663909912,cicids2017_engelen_friday/mlp/pgd/ε=0.15
42,cicids2017_engelen_friday,mlp,pgd,none,0.25,0.9970962616651752,0.5410997680661833,0.45599649359899186,0.9797335739930548,0.9798521581400792,1.0893492698669434,0.2498629242181778,cicids2017_engelen_friday/mlp/pgd/ε=0.25
42,cicids2017_engelen_friday,mlp,gan,none,0.15,0.9970962616651752,0.5366071917745676,0.46048906989060756,0.9893861215200801,0.989448226092723,0.3738172650337219,0.14999984204769135,cicids2017_engelen_friday/mlp/gan/ε=0.15
42,cicids2017_engelen_friday,mlp,gan,none,0.25,0.9970962616651752,0.5354657851964132,0.461630476468762,0.997096388142277,0.9918862514871954,0.5833925604820251,0.24962368607521057,cicids2017_engelen_friday/mlp/gan/ε=0.25
42,cicids2017_engelen_friday,transfer:mlp->random_forest,pgd,none,0.15,0.997516299285936,0.533164709534854,0.46435158975108204,0.9970589965296159,0.997074369526633,0.7831021547317505,0.14984875917434692,
42,cicids2017_engelen_week,mlp,fgsm,none,0.05,0.9894834585302555,0.8198497636932893,0.16963369483696622,0.8086755244913937,0.8093937307401429,0.26720771193504333,0.0411294661462307,cicids2017_engelen_week/mlp/fgsm/ε=0.05
42,cicids2017_engelen_week,mlp,fgsm,none,0.1,0.9894834585302555,0.8180045475649099,0.17147891096534562,0.817196736750139,0.8181417976995405,0.5290164351463318,0.0822589322924614,cicids2017_engelen_week/mlp/fgsm/ε=0.1
42,cicids2017_engelen_week,mlp,fgsm,none,0.15,0.9894834585302555,0.8170997964309948,0.1723836620992607,0.821508402074138,0.8224311724667291,0.7900128960609436,0.12338840961456299,cicids2017_engelen_week/mlp/fgsm/ε=0.15
42,cicids2017_engelen_week,mlp,fgsm,none,0.25,0.9894834585302555,0.8170807490387019,0.17240270949155367,0.8215991739756958,0.8225214750934068,1.3114327192306519,0.2056473046541214,cicids2017_engelen_week/mlp/fgsm/ε=0.25
42,cicids2017_engelen_week,mlp,pgd,none,0.05,0.9894834585302555,0.8048237520981893,0.1846597064320662,0.880010892628187,0.8806312153604768,0.2676514685153961,0.04986002296209335,cicids2017_engelen_week/mlp/pgd/ε=0.05
42,cicids2017_engelen_week,mlp,pgd,none,0.1,0.9894834585302555,0.797952405328508,0.19153105320174757,0.9127682026028843,0.9132078879344403,0.48976951837539673,0.09977487474679947,cicids2017_engelen_week/mlp/pgd/ε=0.1
42,cicids2017_engelen_week,mlp,pgd,none,0.15,0.9894834585302555,0.7965500410709396,0.19293341745931591,0.9194399373673879,0.9198564188235825,0.6517980098724365,0.1496824324131012,cicids2017_engelen_week/mlp/pgd/ε=0.15
42,cicids2017_engelen_week,mlp,pgd,none,0.25,0.9894834585302555,0.7953191033440078,0.19416435518624775,0.9253628039440391,0.9256922260726259,0.9725563526153564,0.24945200979709625,cicids2017_engelen_week/mlp/pgd/ε=0.25
42,cicids2017_engelen_week,mlp,gan,none,0.15,0.9894834585302555,0.7804264234949584,0.20905703503529716,0.9962783520361272,0.9962975923062162,0.36910322308540344,0.14120227098464966,cicids2017_engelen_week/mlp/gan/ε=0.15
42,cicids2017_engelen_week,mlp,gan,none,0.25,0.9894834585302555,0.7843359007630861,0.20514755776716942,0.9776474192413739,0.9777629781806279,0.5344670414924622,0.216272234916687,cicids2017_engelen_week/mlp/gan/ε=0.25
42,cicids2017_engelen_week,transfer:mlp->random_forest,pgd,none,0.15,0.9917881929977024,0.7814002214259355,0.21038797157176692,0.9975840502156291,0.9975844047363728,0.6263448596000671,0.14970262348651886,
43,cicids2017_engelen_friday,mlp,fgsm,none,0.05,0.9966670927917892,0.6920667677191957,0.3046003250725935,0.6551189143541704,0.6574866883813462,0.20600779354572296,0.032874345779418945,cicids2017_engelen_friday/mlp/fgsm/ε=0.05
43,cicids2017_engelen_friday,mlp,fgsm,none,0.1,0.9966670927917892,0.6920667677191957,0.3046003250725935,0.6551189143541704,0.6574866883813462,0.41087234020233154,0.06574869155883789,cicids2017_engelen_friday/mlp/fgsm/ε=0.1
