seed,dataset,model,attack,defense,eps,clean_accuracy,adversarial_accuracy,accuracy_drop,evasion_rate,attack_success_rate,mean_l2_perturbation,mean_linf_perturbation,label
42,unsw_nb15,mlp,fgsm,none,0.15,0.8436695331098479,0.3369285332555993,0.5067409998542487,0.9850777985030577,0.9860584134827495,0.62852543592453,0.14992651343345642,unsw_nb15/mlp/fgsm/ε=0.15
42,unsw_nb15,mlp,pgd,none,0.15,0.8436695331098479,0.33334547927901664,0.5103240538308313,0.9920430666068519,0.9925659578222888,0.5781225562095642,0.14998692274093628,unsw_nb15/mlp/pgd/ε=0.15
42,unsw_nb15,mlp,gan,none,0.15,0.8436695331098479,0.7711946752174125,0.07247485789243546,0.16749698958751447,0.19734403953057442,0.41484534740448,0.1499239057302475,unsw_nb15/mlp/gan/ε=0.15
