dataset,model,defense,n_seeds,gan_eps,gan_l2,gan_evasion,pgd_eps,pgd_l2,pgd_evasion,l2_gap_gan_pgd,note,fgsm_eps,fgsm_l2,fgsm_evasion,l2_gap_gan_fgsm
cicids2017_engelen_friday,mlp,none,3,0.25,0.5417073965072632,0.997238571273053,0.1,0.6022074023882548,0.9464765911618906,0.06050000588099158,closest mean-L2 pair from the executed eps sweep; L2 gap=0.0605,0.1,0.45167988538742065,0.7164116048225561,0.09002751111984253
cicids2017_engelen_week,mlp,none,3,0.15,0.3396994272867839,0.9555316882216623,0.05,0.2757069567839305,0.8904582221077089,0.0639924705028534,closest mean-L2 pair from the executed eps sweep; L2 gap=0.0640,0.05,0.25771873195966083,0.7746764520115773,0.08198069532712304
