dataset,model,attack,defense,eps,n_seeds,seeds,clean_accuracy_mean,clean_accuracy_std,adversarial_accuracy_mean,adversarial_accuracy_std,accuracy_drop_mean,accuracy_drop_std,evasion_rate_mean,evasion_rate_std,attack_success_rate_mean,attack_success_rate_std,mean_l2_perturbation_mean,mean_l2_perturbation_std,mean_linf_perturbation_mean,mean_linf_perturbation_std
cicids2017,mlp,fgsm,none,0.15,1,42,0.992,0.0,0.5225,0.0,0.46950000000000003,0.0,1.0,0.0,1.0,0.0,0.9604595899581909,0.0,0.15000003576278687,0.0
cicids2017,mlp,gan,none,0.15,1,42,0.992,0.0,0.5225,0.0,0.46950000000000003,0.0,1.0,0.0,1.0,0.0,0.4170496463775635,0.0,0.1089901402592659,0.0
cicids2017,mlp,pgd,none,0.15,1,42,0.992,0.0,0.5225,0.0,0.46950000000000003,0.0,1.0,0.0,1.0,0.0,0.9019365310668945,0.0,0.15000002086162567,0.0
