dataset,model,defense,eps,n_seeds,attacks,fgsm_evasion,fgsm_l2,fgsm_acc_drop,pgd_evasion,pgd_l2,pgd_acc_drop,gan_evasion,gan_l2,gan_acc_drop
unsw_nb15,mlp,none,0.05,3,"fgsm,pgd",0.45422968917937084,0.21370311081409454,0.2353762813972696,0.5993414826259319,0.20006562769412994,0.3110698148957878,,,
unsw_nb15,mlp,none,0.1,3,"fgsm,pgd",0.7300852995611745,0.41544527808825177,0.3782814296587799,0.8745138792622646,0.37696964542071026,0.45361868208392037,,,
unsw_nb15,mlp,none,0.15,3,"fgsm,gan,pgd",0.8450621039671043,0.6144705613454183,0.4380394824207679,0.9305221765318241,0.5519724090894064,0.4828985084778701,0.37687773909517847,0.3274993598461151,0.19343633095272797
unsw_nb15,mlp,none,0.25,3,"fgsm,gan,pgd",0.9214912530940295,1.006050129731496,0.4774085410290045,0.9172349352522163,0.8936389883359274,0.47589839511571036,0.7214976425203617,0.42811551690101624,0.3734351973311309
