dataset,model,attack,defense,eps,n_seeds,seeds,clean_accuracy_mean,clean_accuracy_std,adversarial_accuracy_mean,adversarial_accuracy_std,accuracy_drop_mean,accuracy_drop_std,evasion_rate_mean,evasion_rate_std,attack_success_rate_mean,attack_success_rate_std,mean_l2_perturbation_mean,mean_l2_perturbation_std,mean_linf_perturbation_mean,mean_linf_perturbation_std
unsw_nb15,mlp,fgsm,none,0.05,3,"42,43,44",0.8643986137427326,0.022439490289692984,0.6290223323454631,0.06479223085734731,0.2353762813972696,0.05085326875202481,0.45422968917937084,0.10244240152131212,0.4847789640871791,0.10285367306435,0.21370311081409454,0.006822480616741263,0.04967007786035538,0.00042375509659017986
unsw_nb15,mlp,fgsm,none,0.1,3,"42,43,44",0.8643986137427326,0.022439490289692984,0.4861171840839528,0.12636973026226378,0.3782814296587799,0.10407034556866317,0.7300852995611745,0.20762890221941663,0.7443233624518367,0.19714219092898727,0.41544527808825177,0.01421611651566525,0.09929286440213521,0.0008475074781839124
unsw_nb15,mlp,fgsm,none,0.15,3,"42,43,44",0.8643986137427326,0.022439490289692984,0.42635913132196473,0.08611312485578976,0.4380394824207679,0.06373257017494112,0.8450621039671043,0.12899277272915682,0.8528559663519516,0.12241662903042089,0.6144705613454183,0.0215659769227458,0.14891729752222696,0.0012712668218007419
unsw_nb15,mlp,fgsm,none,0.25,3,"42,43,44",0.8643986137427326,0.022439490289692984,0.38699007271372815,0.056263211946835257,0.4774085410290045,0.03468096934726941,0.9214912530940295,0.0703851191598818,0.9243580693549811,0.06755564567786611,1.006050129731496,0.0361243871638583,0.248189315199852,0.002118768520922683
unsw_nb15,mlp,gan,none,0.15,3,"42,43,44",0.8643986137427326,0.022439490289692984,0.6709622827900047,0.0632467293123184,0.19343633095272797,0.06901195620687745,0.37687773909517847,0.1330893412084431,0.40860760610606195,0.13016432368082764,0.3274993598461151,0.025545836885733735,0.13831322391827902,0.009753123193894766
unsw_nb15,mlp,gan,none,0.25,3,"42,43,44",0.8643986137427326,0.022439490289692984,0.49096341641160174,0.017311939819666104,0.3734351973311309,0.029097808460340237,0.7214976425203617,0.0571803485072319,0.7355216329892055,0.05303204203956505,0.42811551690101624,0.009455382917501986,0.20468805730342865,0.0024029038042173764
unsw_nb15,mlp,pgd,none,0.05,3,"42,43,44",0.8643986137427326,0.022439490289692984,0.553328798846945,0.014349869836220523,0.3110698148957878,0.0164451753842124,0.5993414826259319,0.032279659834523584,0.6222535956939911,0.03144907960079699,0.20006562769412994,0.007165354328264712,0.049978079895178475,5.8095412066196484e-05
unsw_nb15,mlp,pgd,none,0.1,3,"42,43,44",0.8643986137427326,0.022439490289692984,0.41077993165881227,0.06901266305567667,0.45361868208392037,0.04669263188744512,0.8745138792622646,0.09802156763142006,0.8811509162034178,0.09309204573840707,0.37696964542071026,0.025825356535336377,0.0998528649409612,0.0001489258136084264
unsw_nb15,mlp,pgd,none,0.15,3,"42,43,44",0.8643986137427326,0.022439490289692984,0.38150010526486255,0.05018080420221164,0.4828985084778701,0.0294319271629577,0.9305221765318241,0.060108518606525524,0.9343289508514956,0.056598489040945235,0.5519724090894064,0.05188180813613587,0.14970587193965912,0.0002613512431583979
unsw_nb15,mlp,pgd,none,0.25,3,"42,43,44",0.8643986137427326,0.022439490289692984,0.38850021862702233,0.05596552199769841,0.47589839511571036,0.03567009560601132,0.9172349352522163,0.07124781690265329,0.921615341627695,0.06732773692689434,0.8936389883359274,0.10089445891019129,0.24921097854773203,0.0006526100410437006
unsw_nb15,transfer:mlp->random_forest,pgd,none,0.15,3,"42,43,44",0.9055450290692967,0.000650951682335487,0.834058041425772,0.046566903674254166,0.07148698764352461,0.04712636681530554,0.1563256229337749,0.08509864705568689,0.15710020882967146,0.08546286379597531,0.5020772318045298,0.0405839420724673,0.1496791591246923,0.00029046124160372297
