dataset,model,attack,defense,eps,n_seeds,seeds,clean_accuracy_mean,clean_accuracy_std,adversarial_accuracy_mean,adversarial_accuracy_std,accuracy_drop_mean,accuracy_drop_std,evasion_rate_mean,evasion_rate_std,attack_success_rate_mean,attack_success_rate_std,mean_l2_perturbation_mean,mean_l2_perturbation_std,mean_linf_perturbation_mean,mean_linf_perturbation_std
cicids2017_engelen_friday,mlp,fgsm,none,0.05,3,"42,43,44",0.9967918865776674,0.0002650161568510339,0.6636868345599649,0.03623600897563825,0.3331050520177024,0.03613232433166264,0.716169631003459,0.07779523273161104,0.7180082307737318,0.07730640208809045,0.22674479087193808,0.029360762507004534,0.035909850150346756,0.0038612085997034905
cicids2017_engelen_friday,mlp,fgsm,none,0.1,3,"42,43,44",0.9967918865776674,0.0002650161568510339,0.663574215777587,0.03618518791259147,0.33321767080008036,0.03608272100774352,0.7164116048225561,0.07768676719956491,0.718248782612653,0.0771977059009413,0.45167988538742065,0.05809595730786739,0.07181970030069351,0.007722417199406981
cicids2017_engelen_friday,mlp,fgsm,none,0.15,3,"42,43,44",0.9967918865776674,0.0002650161568510339,0.663574215777587,0.03618518791259147,0.33321767080008036,0.03608272100774352,0.7164116048225561,0.07768676719956491,0.718248782612653,0.0771977059009413,0.6732323964436849,0.08653507136154655,0.10772954175869624,0.011583625367088266
cicids2017_engelen_friday,mlp,fgsm,none,0.25,3,"42,43,44",0.9967918865776674,0.0002650161568510339,0.663574215777587,0.03618518791259147,0.33321767080008036,0.03608272100774352,0.7164116048225561,0.07768676719956491,0.718248782612653,0.0771977059009413,1.1162645022074382,0.14324701128759146,0.17954919238885245,0.01930603963784154
cicids2017_engelen_friday,mlp,gan,none,0.15,3,"42,43,44",0.9967918865776674,0.0002650161568510339,0.5347870287512708,0.0022707523925948226,0.4620048578263966,0.0021178010884983943,0.993293828655755,0.004950579170184361,0.9933360639217752,0.004920950783793327,0.4193735122680664,0.039629924739247084,0.14999142289161682,1.2978038857054957e-05
cicids2017_engelen_friday,mlp,gan,none,0.25,3,"42,43,44",0.9967918865776674,0.0002650161568510339,0.5337673722081195,0.0018958732340002768,0.4630245143695479,0.001718916368718401,0.997238571273053,0.002673535209725814,0.9955140332741705,0.00411178024320297,0.5417073965072632,0.052358541107143726,0.23314700524012247,0.015665367712540373
cicids2017_engelen_friday,mlp,pgd,none,0.05,3,"42,43,44",0.9967918865776674,0.0002650161568510339,0.5835783552787772,0.013680362718913841,0.4132135312988902,0.01370459064620493,0.8883901761735825,0.029341022709978872,0.8891186050593903,0.029125183208691056,0.29029057423273724,0.01053065897536606,0.04986060286561648,3.393019053599007e-05
cicids2017_engelen_friday,mlp,pgd,none,0.1,3,"42,43,44",0.9967918865776674,0.0002650161568510339,0.5565620225115815,0.006539101185380829,0.44022986406608594,0.0065219477810352896,0.9464765911618906,0.01396795067507441,0.9468250407962916,0.013869906827229382,0.6022074023882548,0.019795031093282806,0.09985840072234471,3.7764482733557154e-05
cicids2017_engelen_friday,mlp,pgd,none,0.15,3,"42,43,44",0.9967918865776674,0.0002650161568510339,0.546487207115072,0.00330572785124744,0.45030467946259534,0.0031855554067531317,0.968138405159681,0.007012459159267808,0.9683446782781688,0.006971381743487267,0.8688487609227499,0.05453261385201919,0.14986938734849295,3.3362752632072235e-05
cicids2017_engelen_friday,mlp,pgd,none,0.25,3,"42,43,44",0.9967918865776674,0.0002650161568510339,0.539069586232506,0.001931218554929872,0.4577223003451613,0.0016820104425236072,0.984086505492268,0.0041033724949374115,0.9841885926417143,0.004085668920067248,1.214145024617513,0.1272067530833304,0.24988694489002228,2.7480153281259214e-05
