seed,dataset,model,attack,defense,eps,clean_accuracy,adversarial_accuracy,accuracy_drop,evasion_rate,attack_success_rate,mean_l2_perturbation,mean_linf_perturbation,label
42,unsw_nb15,mlp,fgsm,none,0.05,0.8798037215177573,0.6201112568624593,0.25969246465529805,0.5017129716538389,0.5315671049148505,0.20685358345508575,0.04918697476387024,unsw_nb15/mlp/fgsm/ε=0.05
42,unsw_nb15,mlp,fgsm,none,0.1,0.8798037215177573,0.5605475392314045,0.3192561822863528,0.6170452412239534,0.6397467572575664,0.40104198455810547,0.0983266606926918,unsw_nb15/mlp/fgsm/ε=0.1
42,unsw_nb15,mlp,fgsm,none,0.15,0.8798037215177573,0.49034397318175194,0.3894597483360054,0.7534728740379201,0.7672505073678637,0.5927183628082275,0.1474679857492447,unsw_nb15/mlp/fgsm/ε=0.15
42,unsw_nb15,mlp,fgsm,none,0.25,0.8798037215177573,0.4359179905747462,0.44388573094301115,0.8600760277829923,0.8660990029118504,0.9701970219612122,0.2457738071680069,unsw_nb15/mlp/fgsm/ε=0.25
42,unsw_nb15,mlp,pgd,none,0.05,0.8798037215177573,0.5502963610746733,0.32950736044308404,0.6365918903698141,0.6583649519103503,0.19343921542167664,0.04991459846496582,unsw_nb15/mlp/pgd/ε=0.05
42,unsw_nb15,mlp,pgd,none,0.1,0.8798037215177573,0.4525579361609095,0.4272457853568478,0.8254176834991552,0.8358775258095826,0.3608900010585785,0.0997132733464241,unsw_nb15/mlp/pgd/ε=0.1
42,unsw_nb15,mlp,pgd,none,0.15,0.8798037215177573,0.42797454209784774,0.4518291794199096,0.8729585132344659,0.8805258978205242,0.5219154953956604,0.14947237074375153,unsw_nb15/mlp/pgd/ε=0.15
42,unsw_nb15,mlp,pgd,none,0.25,0.8798037215177573,0.44224602827576154,0.4375576932419958,0.8459968087103436,0.8546060178240537,0.8282254934310913,0.24858668446540833,unsw_nb15/mlp/pgd/ε=0.25
42,unsw_nb15,mlp,gan,none,0.15,0.8798037215177573,0.6085240246805617,0.27127969683719566,0.5270555659846067,0.5526118415247507,0.3363422751426697,0.13440150022506714,unsw_nb15/mlp/gan/ε=0.15
42,unsw_nb15,mlp,gan,none,0.25,0.8798037215177573,0.4742505951513385,0.4055531263664188,0.7866059695888868,0.7964793082149475,0.4386008083820343,0.20308570563793182,unsw_nb15/mlp/gan/ε=0.25
42,unsw_nb15,transfer:mlp->random_forest,pgd,none,0.15,0.9061725695962688,0.8107783121993879,0.0953942573968809,0.20050790195678297,0.2003661872408012,0.47371092438697815,0.14940793812274933,
